Designator,Mid X,Mid Y,Rotation,Layer
C1,154.6,-93.7,180.0,bottom
C10,142.6,-85.7,270.0,bottom
C11,136.962499,-85.7,90.0,bottom
C12,153.5,-103.9,90.0,bottom
C13,148.5,-103.899999,270.0,bottom
C14,129.75,-90.8,270.0,bottom
C15,129.75,-87.35,270.0,bottom
C2,154.6,-97.6,180.0,bottom
C3,144.824999,-103.500481,270.0,bottom
C4,141.8,-97.6,0.0,bottom
C5,141.8,-94.0,0.0,bottom
C6,149.250002,-89.5,90.0,bottom
C7,143.324999,-103.500481,270.0,bottom
C8,150.750002,-89.5,90.0,bottom
C9,144.750002,-89.5,90.0,bottom
D1,139.8,-83.0,0.0,bottom
J1,132.2,-73.15,180.0,bottom
J2,163.4,-80.475,270.0,bottom
J3,147.8,-74.1,180.0,bottom
Q1,132.4375,-97.65,0.0,bottom
Q2,132.4375,-101.050001,0.0,bottom
Q3,132.4375,-104.450001,0.0,bottom
Q4,132.4375,-94.25,0.0,bottom
Q5,132.4375,-107.850001,0.0,bottom
Q6,132.4375,-111.250001,0.0,bottom
R1,146.5,-81.3,90.0,bottom
R10,135.1375,-101.250001,90.0,bottom
R11,129.7375,-101.250001,270.0,bottom
R12,135.1375,-104.650001,90.0,bottom
R13,129.7375,-104.650001,270.0,bottom
R14,135.1375,-108.05,90.0,bottom
R15,129.7375,-108.05,270.0,bottom
R16,129.7375,-94.225001,90.0,bottom
R17,135.1375,-111.450001,90.0,bottom
R18,129.7375,-111.450001,270.0,bottom
R19,141.8,-92.5,180.0,bottom
R2,149.6,-81.3,90.0,bottom
R20,141.8,-91.0,0.0,bottom
R21,165.9,-88.4,270.0,bottom
R22,147.0,-103.9,270.0,bottom
R3,164.4,-88.395,90.0,bottom
R4,141.824999,-103.500481,90.0,bottom
R5,146.250002,-89.5,90.0,bottom
R6,147.75,-89.5,90.0,bottom
R7,162.9,-88.4,90.0,bottom
R8,135.1375,-97.85,90.0,bottom
R9,129.7375,-97.85,270.0,bottom
U1,148.2,-96.6,90.0,bottom
U2,139.8,-85.7,180.0,bottom
U3,156.92375,-89.495,270.0,bottom
U4,122.8,-92.1,90.0,top
U5,132.55,-90.8,180.0,bottom
U6,132.55,-87.35,180.0,bottom
Y1,151.0,-103.9,180.0,bottom
